chrom,start,stop,name,score
chr2,201567940,201568090,.,102,.
chr2,201577860,201578010,.,107,.
chr2,201593460,201593610,.,102,.
chr2,201600500,201600650,.,102,.
chr2,201607240,201607390,.,102,.
chr2,201612740,201612890,.,106,.
chr2,201619660,201619810,.,101,.
chr2,201621820,201621970,.,103,.
chr2,201626140,201626290,.,101,.
chr2,201629940,201630090,.,108,.
chr2,201630420,201630570,.,109,.
chr2,201631120,201631270,.,100,.
chr2,201647060,201647210,.,101,.
chr2,201651280,201651430,.,102,.
chr2,201651700,201651850,.,104,.
chr2,201652220,201652370,.,111,.
chr2,201653140,201653290,.,102,.
chr2,201659980,201660130,.,101,.
chr2,201662020,201662170,.,101,.
chr2,201674340,201674490,.,100,.
chr2,201675080,201675230,.,105,.
chr2,201676140,201676290,.,108,.
chr2,201676500,201676650,.,109,.
chr2,201677220,201677370,.,101,.
chr2,201679800,201679950,.,100,.
chr2,201724920,201725070,.,103,.
chr2,201727340,201727490,.,102,.
chr2,201728860,201729010,.,101,.
chr2,201729360,201729510,.,107,.
chr2,201729880,201730030,.,100,.
chr2,201731880,201732030,.,102,.
chr2,201736020,201736170,.,100,.
chr2,201753960,201754110,.,114,.
chr2,201754420,201754570,.,104,.
chr2,201766300,201766450,.,105,.
chr2,201770540,201770690,.,102,.
chr2,201778460,201778610,.,100,.
chr2,201809520,201809670,.,106,.
chr2,201827940,201828090,.,101,.
chr2,201828400,201828550,.,105,.
chr2,201831660,201831810,.,105,.
chr2,201857940,201858090,.,100,.
chr2,201934180,201934330,.,103,.
chr2,201936340,201936490,.,106,.
chr2,201958340,201958490,.,100,.
chr2,201980920,201981070,.,101,.
chr2,201981740,201981890,.,103,.
chr2,201982120,201982270,.,107,.
chr2,201983280,201983430,.,102,.
chr2,201987160,201987310,.,103,.
chr2,201988780,201988930,.,101,.
chr2,201989580,201989730,.,101,.
chr2,201990380,201990530,.,101,.
chr2,201991560,201991710,.,100,.
chr2,201992380,201992530,.,102,.
chr2,201994000,201994150,.,101,.
chr2,201994440,201994590,.,101,.
chr2,201995400,201995550,.,103,.
chr2,202000160,202000310,.,100,.
chr2,202013980,202014130,.,106,.
chr2,202014600,202014750,.,101,.
chr2,202015920,202016070,.,107,.
chr2,202022540,202022690,.,100,.
chr2,202022880,202023030,.,101,.
chr2,202023140,202023290,.,102,.
chr2,202029000,202029150,.,100,.
chr2,202042180,202042330,.,103,.
chr2,202047720,202047870,.,101,.
chr2,202067820,202067970,.,100,.
chr2,202068760,202068910,.,101,.
chr2,202083600,202083750,.,100,.
chr2,202092080,202092230,.,101,.
chr2,202093440,202093590,.,100,.
chr2,202097060,202097210,.,105,.
chr2,202098040,202098190,.,101,.
chr2,202101180,202101330,.,102,.
chr2,202104360,202104510,.,100,.
chr2,202122640,202122790,.,103,.
chr2,202123040,202123190,.,102,.
chr2,202125120,202125270,.,102,.
chr2,202222080,202222230,.,102,.
chr2,202223520,202223670,.,107,.
chr2,202227220,202227370,.,100,.
chr2,202228740,202228890,.,101,.
chr2,202268020,202268170,.,100,.
chr2,202271200,202271350,.,105,.
chr2,202276280,202276430,.,103,.
chr2,202285300,202285450,.,103,.
chr2,202296900,202297050,.,101,.
chr2,202297500,202297650,.,102,.
chr2,202309480,202309630,.,100,.
chr2,202316240,202316390,.,109,.
chr2,202317160,202317310,.,100,.
chr2,202330260,202330410,.,100,.
chr2,202331120,202331270,.,104,.
chr2,202336180,202336330,.,102,.
chr2,202336840,202336990,.,106,.
chr2,202348200,202348350,.,100,.
chr2,202349620,202349770,.,101,.
chr2,202365360,202365510,.,102,.
chr2,202397540,202397690,.,110,.
chr2,202411380,202411530,.,101,.
chr2,202445360,202445510,.,103,.
chr2,202483840,202483990,.,102,.
chr2,202486060,202486210,.,100,.
chr2,202487080,202487230,.,101,.
chr2,202498700,202498850,.,100,.
chr2,202507360,202507510,.,102,.
chr2,202507940,202508090,.,100,.
chr2,202508820,202508970,.,100,.
chr2,202517320,202517470,.,107,.
chr2,202519800,202519950,.,102,.
chr2,202533760,202533910,.,101,.
chr2,202561140,202561290,.,113,.
chr2,202562700,202562850,.,102,.
chr2,202563400,202563550,.,101,.
