chrom,start,stop,name,score
chr2,201567940,201568090,.,104,.
chr2,201574940,201575090,.,101,.
chr2,201577860,201578010,.,117,.
chr2,201600520,201600670,.,105,.
chr2,201603240,201603390,.,101,.
chr2,201606240,201606390,.,102,.
chr2,201607260,201607410,.,121,.
chr2,201613600,201613750,.,101,.
chr2,201621860,201622010,.,105,.
chr2,201626200,201626350,.,102,.
chr2,201629940,201630090,.,106,.
chr2,201630160,201630310,.,108,.
chr2,201630420,201630570,.,110,.
chr2,201635680,201635830,.,101,.
chr2,201642140,201642290,.,101,.
chr2,201642980,201643130,.,101,.
chr2,201647080,201647230,.,101,.
chr2,201651360,201651510,.,106,.
chr2,201651700,201651850,.,104,.
chr2,201652240,201652390,.,107,.
chr2,201653140,201653290,.,105,.
chr2,201660040,201660190,.,101,.
chr2,201662020,201662170,.,103,.
chr2,201675100,201675250,.,114,.
chr2,201676060,201676210,.,112,.
chr2,201676480,201676630,.,115,.
chr2,201677240,201677390,.,106,.
chr2,201679760,201679910,.,102,.
chr2,201683120,201683270,.,101,.
chr2,201724920,201725070,.,106,.
chr2,201727360,201727510,.,102,.
chr2,201728820,201728970,.,104,.
chr2,201729360,201729510,.,113,.
chr2,201731840,201731990,.,111,.
chr2,201736020,201736170,.,102,.
chr2,201753580,201753730,.,105,.
chr2,201753960,201754110,.,122,.
chr2,201754420,201754570,.,110,.
chr2,201766300,201766450,.,111,.
chr2,201770520,201770670,.,103,.
chr2,201778480,201778630,.,103,.
chr2,201809520,201809670,.,109,.
chr2,201828400,201828550,.,108,.
chr2,201831660,201831810,.,106,.
chr2,201850620,201850770,.,102,.
chr2,201857960,201858110,.,101,.
chr2,201922080,201922230,.,102,.
chr2,201934160,201934310,.,117,.
chr2,201936340,201936490,.,111,.
chr2,201936580,201936730,.,103,.
chr2,201958400,201958550,.,104,.
chr2,201979740,201979890,.,102,.
chr2,201980860,201981010,.,106,.
chr2,201981760,201981910,.,111,.
chr2,201982120,201982270,.,121,.
chr2,201983300,201983450,.,107,.
chr2,201987160,201987310,.,111,.
chr2,201989560,201989710,.,107,.
chr2,201990360,201990510,.,101,.
chr2,201991500,201991650,.,102,.
chr2,201992440,201992590,.,121,.
chr2,201994000,201994150,.,104,.
chr2,201994920,201995070,.,101,.
chr2,201995440,201995590,.,110,.
chr2,201999500,201999650,.,102,.
chr2,202013980,202014130,.,111,.
chr2,202014560,202014710,.,101,.
chr2,202015880,202016030,.,121,.
chr2,202022940,202023090,.,104,.
chr2,202023180,202023330,.,105,.
chr2,202029020,202029170,.,101,.
chr2,202036060,202036210,.,101,.
chr2,202042180,202042330,.,105,.
chr2,202047720,202047870,.,107,.
chr2,202051820,202051970,.,102,.
chr2,202068800,202068950,.,125,.
chr2,202070260,202070410,.,138,.
chr2,202083600,202083750,.,102,.
chr2,202092080,202092230,.,121,.
chr2,202093420,202093570,.,104,.
chr2,202097040,202097190,.,115,.
chr2,202098100,202098250,.,101,.
chr2,202099560,202099710,.,101,.
chr2,202101140,202101290,.,120,.
chr2,202102380,202102530,.,104,.
chr2,202104420,202104570,.,107,.
chr2,202116640,202116790,.,105,.
chr2,202119080,202119230,.,106,.
chr2,202122640,202122790,.,105,.
chr2,202125100,202125250,.,102,.
chr2,202126820,202126970,.,101,.
chr2,202149340,202149490,.,101,.
chr2,202222080,202222230,.,103,.
chr2,202223520,202223670,.,111,.
chr2,202227240,202227390,.,101,.
chr2,202228740,202228890,.,102,.
chr2,202243800,202243950,.,102,.
chr2,202248000,202248150,.,103,.
chr2,202268000,202268150,.,101,.
chr2,202271220,202271370,.,115,.
chr2,202276300,202276450,.,117,.
chr2,202283940,202284090,.,102,.
chr2,202285360,202285510,.,113,.
chr2,202296900,202297050,.,103,.
chr2,202297520,202297670,.,109,.
chr2,202301060,202301210,.,101,.
chr2,202309500,202309650,.,103,.
chr2,202315700,202315850,.,103,.
chr2,202316240,202316390,.,124,.
chr2,202316620,202316770,.,102,.
chr2,202317220,202317370,.,101,.
chr2,202330440,202330590,.,101,.
chr2,202331120,202331270,.,113,.
chr2,202336840,202336990,.,108,.
chr2,202348180,202348330,.,106,.
chr2,202349580,202349730,.,109,.
chr2,202365340,202365490,.,102,.
chr2,202381940,202382090,.,101,.
chr2,202388380,202388530,.,101,.
chr2,202397540,202397690,.,117,.
chr2,202411400,202411550,.,103,.
chr2,202418700,202418850,.,101,.
chr2,202445280,202445430,.,102,.
chr2,202483880,202484030,.,103,.
chr2,202498660,202498810,.,101,.
chr2,202507360,202507510,.,104,.
chr2,202508980,202509130,.,101,.
chr2,202517320,202517470,.,130,.
chr2,202519800,202519950,.,107,.
chr2,202533780,202533930,.,102,.
chr2,202561140,202561290,.,135,.
chr2,202562760,202562910,.,106,.
chr2,202563420,202563570,.,103,.
