chrom,start,stop,name,score
chr2,201568005,201568155,.,108,.
chr2,201577805,201577955,.,111,.
chr2,201600525,201600675,.,106,.
chr2,201606305,201606455,.,111,.
chr2,201606665,201606815,.,116,.
chr2,201612745,201612895,.,106,.
chr2,201676165,201676315,.,121,.
chr2,201676485,201676635,.,127,.
chr2,201677185,201677335,.,111,.
chr2,201728905,201729055,.,107,.
chr2,201729045,201729195,.,106,.
chr2,201729385,201729535,.,121,.
chr2,201731745,201731895,.,103,.
chr2,201753985,201754135,.,113,.
chr2,201754465,201754615,.,109,.
chr2,201766345,201766495,.,112,.
chr2,201770525,201770675,.,107,.
chr2,201827885,201828035,.,108,.
chr2,201828065,201828215,.,114,.
chr2,201828425,201828575,.,146,.
chr2,201934125,201934275,.,109,.
chr2,201936345,201936495,.,146,.
chr2,201936685,201936835,.,110,.
chr2,201979445,201979595,.,104,.
chr2,201980945,201981095,.,112,.
chr2,201983325,201983475,.,109,.
chr2,201983745,201983895,.,110,.
chr2,201993985,201994135,.,105,.
chr2,202006405,202006555,.,105,.
chr2,202016285,202016435,.,107,.
chr2,202023205,202023355,.,110,.
chr2,202042185,202042335,.,109,.
chr2,202096985,202097135,.,107,.
chr2,202098065,202098215,.,110,.
chr2,202123125,202123275,.,108,.
chr2,202163345,202163495,.,105,.
chr2,202217865,202218015,.,105,.
chr2,202222025,202222175,.,107,.
chr2,202228765,202228915,.,105,.
chr2,202316265,202316415,.,132,.
chr2,202316645,202316795,.,115,.
chr2,202316765,202316915,.,106,.
chr2,202465785,202465935,.,106,.
chr2,202507105,202507255,.,108,.
chr2,202507365,202507515,.,112,.
chr2,202507965,202508115,.,107,.
chr2,202525125,202525275,.,105,.
