chrom,start,stop,name,score
chr2,201566260,201566410,.,101,.
chr2,201567980,201568130,.,100,.
chr2,201577900,201578050,.,100,.
chr2,201600500,201600650,.,101,.
chr2,201606340,201606490,.,100,.
chr2,201606640,201606790,.,101,.
chr2,201613020,201613170,.,100,.
chr2,201616200,201616350,.,100,.
chr2,201616560,201616710,.,100,.
chr2,201621520,201621670,.,100,.
chr2,201621740,201621890,.,100,.
chr2,201630160,201630310,.,100,.
chr2,201630420,201630570,.,100,.
chr2,201630880,201631030,.,100,.
chr2,201642140,201642290,.,100,.
chr2,201647040,201647190,.,100,.
chr2,201651240,201651390,.,100,.
chr2,201651700,201651850,.,101,.
chr2,201652220,201652370,.,100,.
chr2,201659040,201659190,.,100,.
chr2,201675120,201675270,.,100,.
chr2,201675980,201676130,.,101,.
chr2,201676180,201676330,.,101,.
chr2,201676480,201676630,.,101,.
chr2,201677220,201677370,.,101,.
chr2,201692865,201693015,.,100,.
chr2,201694145,201694295,.,100,.
chr2,201704405,201704555,.,100,.
chr2,201714105,201714255,.,100,.
chr2,201724845,201724995,.,100,.
chr2,201727380,201727530,.,101,.
chr2,201728865,201729015,.,100,.
chr2,201729145,201729295,.,100,.
chr2,201729320,201729470,.,101,.
chr2,201752640,201752790,.,105,.
chr2,201753940,201754090,.,101,.
chr2,201754440,201754590,.,101,.
chr2,201766300,201766450,.,102,.
chr2,201770520,201770670,.,101,.
chr2,201809520,201809670,.,100,.
chr2,201824180,201824330,.,100,.
chr2,201827605,201827755,.,101,.
chr2,201827900,201828050,.,101,.
chr2,201828085,201828235,.,101,.
chr2,201828480,201828630,.,102,.
chr2,201829105,201829255,.,100,.
chr2,201831605,201831755,.,100,.
chr2,201833605,201833755,.,100,.
chr2,201872320,201872470,.,100,.
chr2,201873060,201873210,.,100,.
chr2,201904025,201904175,.,100,.
chr2,201905945,201906095,.,100,.
chr2,201929660,201929810,.,100,.
chr2,201934160,201934310,.,101,.
chr2,201936340,201936490,.,101,.
chr2,201936665,201936815,.,101,.
chr2,201936905,201937055,.,100,.
chr2,201979320,201979470,.,101,.
chr2,201979625,201979775,.,100,.
chr2,201980900,201981050,.,101,.
chr2,201981725,201981875,.,101,.
chr2,201982005,201982155,.,101,.
chr2,201982185,201982335,.,101,.
chr2,201983380,201983530,.,101,.
chr2,201983745,201983895,.,101,.
chr2,201988640,201988790,.,100,.
chr2,201990145,201990295,.,100,.
chr2,201991945,201992095,.,100,.
chr2,201993925,201994075,.,101,.
chr2,201995440,201995590,.,100,.
chr2,201997325,201997475,.,100,.
chr2,202016240,202016390,.,101,.
chr2,202023200,202023350,.,101,.
chr2,202042180,202042330,.,101,.
chr2,202047705,202047855,.,101,.
chr2,202062400,202062550,.,100,.
chr2,202083580,202083730,.,100,.
chr2,202097040,202097190,.,101,.
chr2,202098080,202098230,.,101,.
chr2,202101145,202101295,.,101,.
chr2,202111965,202112115,.,100,.
chr2,202119085,202119235,.,100,.
chr2,202122645,202122795,.,101,.
chr2,202123105,202123255,.,101,.
chr2,202162905,202163055,.,100,.
chr2,202163485,202163635,.,100,.
chr2,202172205,202172355,.,101,.
chr2,202174005,202174155,.,100,.
chr2,202209805,202209955,.,101,.
chr2,202222080,202222230,.,102,.
chr2,202223500,202223650,.,100,.
chr2,202227220,202227370,.,100,.
chr2,202228760,202228910,.,100,.
chr2,202271200,202271350,.,100,.
chr2,202272185,202272335,.,100,.
chr2,202277945,202278095,.,101,.
chr2,202283840,202283990,.,100,.
chr2,202289145,202289295,.,100,.
chr2,202305025,202305175,.,101,.
chr2,202313560,202313710,.,100,.
chr2,202315645,202315795,.,101,.
chr2,202316220,202316370,.,102,.
chr2,202369620,202369770,.,100,.
chr2,202423040,202423190,.,100,.
chr2,202429005,202429155,.,100,.
chr2,202432945,202433095,.,100,.
chr2,202465785,202465935,.,100,.
chr2,202477640,202477790,.,100,.
chr2,202500000,202500150,.,100,.
chr2,202507125,202507275,.,101,.
chr2,202507385,202507535,.,101,.
chr2,202507905,202508055,.,101,.
chr2,202508205,202508355,.,101,.
chr2,202545565,202545715,.,101,.
