chrom,start,stop,name,score
chr2,201567925,201568075,.,102,.
chr2,201577865,201578015,.,106,.
chr2,201595785,201595935,.,101,.
chr2,201600485,201600635,.,103,.
chr2,201606385,201606535,.,108,.
chr2,201606645,201606795,.,104,.
chr2,201607245,201607395,.,101,.
chr2,201612225,201612375,.,102,.
chr2,201613165,201613315,.,102,.
chr2,201616485,201616635,.,102,.
chr2,201621785,201621935,.,109,.
chr2,201630125,201630275,.,103,.
chr2,201631045,201631195,.,102,.
chr2,201642105,201642255,.,106,.
chr2,201651305,201651455,.,103,.
chr2,201652245,201652395,.,102,.
chr2,201675065,201675215,.,107,.
chr2,201675965,201676115,.,108,.
chr2,201676245,201676395,.,118,.
chr2,201676505,201676655,.,115,.
chr2,201677185,201677335,.,108,.
chr2,201704265,201704415,.,101,.
chr2,201727385,201727535,.,103,.
chr2,201728525,201728675,.,104,.
chr2,201728885,201729035,.,104,.
chr2,201729385,201729535,.,108,.
chr2,201732625,201732775,.,101,.
chr2,201736445,201736595,.,101,.
chr2,201753945,201754095,.,107,.
chr2,201754445,201754595,.,105,.
chr2,201755325,201755475,.,103,.
chr2,201766225,201766375,.,110,.
chr2,201770545,201770695,.,109,.
chr2,201827805,201827955,.,110,.
chr2,201828065,201828215,.,115,.
chr2,201828425,201828575,.,113,.
chr2,201829065,201829215,.,103,.
chr2,201831685,201831835,.,102,.
chr2,201906105,201906255,.,101,.
chr2,201934105,201934255,.,106,.
chr2,201936365,201936515,.,111,.
chr2,201936665,201936815,.,105,.
chr2,201980805,201980955,.,103,.
chr2,201981025,201981175,.,104,.
chr2,201983325,201983475,.,107,.
chr2,201993925,201994075,.,102,.
chr2,202001145,202001295,.,103,.
chr2,202015865,202016015,.,103,.
chr2,202016285,202016435,.,106,.
chr2,202023205,202023355,.,110,.
chr2,202042205,202042355,.,106,.
chr2,202047685,202047835,.,105,.
chr2,202096985,202097135,.,111,.
chr2,202098045,202098195,.,114,.
chr2,202101165,202101315,.,104,.
chr2,202113285,202113435,.,102,.
chr2,202122645,202122795,.,110,.
chr2,202123125,202123275,.,103,.
chr2,202140785,202140935,.,102,.
chr2,202209825,202209975,.,102,.
chr2,202222025,202222175,.,103,.
chr2,202228765,202228915,.,103,.
chr2,202269485,202269635,.,101,.
chr2,202271245,202271395,.,102,.
chr2,202305025,202305175,.,102,.
chr2,202313505,202313655,.,102,.
chr2,202315665,202315815,.,102,.
chr2,202315865,202316015,.,106,.
chr2,202316265,202316415,.,108,.
chr2,202316665,202316815,.,105,.
chr2,202331085,202331235,.,102,.
chr2,202423005,202423155,.,101,.
chr2,202428445,202428595,.,102,.
chr2,202484225,202484375,.,102,.
chr2,202507385,202507535,.,113,.
chr2,202507905,202508055,.,104,.
chr2,202521905,202522055,.,102,.
chr2,202529545,202529695,.,102,.
chr2,202544005,202544155,.,101,.
chr2,202545545,202545695,.,103,.
