chrom,start,stop,name,score
chr2,201567960,201568110,.,100,.
chr2,201577820,201577970,.,101,.
chr2,201593385,201593535,.,100,.
chr2,201596160,201596310,.,100,.
chr2,201605285,201605435,.,100,.
chr2,201606805,201606955,.,100,.
chr2,201609025,201609175,.,100,.
chr2,201612405,201612555,.,100,.
chr2,201619900,201620050,.,102,.
chr2,201621600,201621750,.,101,.
chr2,201622345,201622495,.,100,.
chr2,201629860,201630010,.,101,.
chr2,201630400,201630550,.,101,.
chr2,201631060,201631210,.,100,.
chr2,201632285,201632435,.,101,.
chr2,201642140,201642290,.,100,.
chr2,201646440,201646590,.,100,.
chr2,201651280,201651430,.,100,.
chr2,201651505,201651655,.,100,.
chr2,201651680,201651830,.,100,.
chr2,201652180,201652330,.,101,.
chr2,201659880,201660030,.,100,.
chr2,201662120,201662270,.,100,.
chr2,201669445,201669595,.,100,.
chr2,201675120,201675270,.,101,.
chr2,201676180,201676330,.,102,.
chr2,201676525,201676675,.,102,.
chr2,201676785,201676935,.,101,.
chr2,201677160,201677310,.,101,.
chr2,201690665,201690815,.,100,.
chr2,201693725,201693875,.,100,.
chr2,201702225,201702375,.,100,.
chr2,201704380,201704530,.,101,.
chr2,201710765,201710915,.,101,.
chr2,201714580,201714730,.,100,.
chr2,201715040,201715190,.,100,.
chr2,201724865,201725015,.,101,.
chr2,201725240,201725390,.,100,.
chr2,201727400,201727550,.,102,.
chr2,201727585,201727735,.,104,.
chr2,201728140,201728290,.,100,.
chr2,201728940,201729090,.,101,.
chr2,201729360,201729510,.,102,.
chr2,201731820,201731970,.,100,.
chr2,201731985,201732135,.,100,.
chr2,201732705,201732855,.,100,.
chr2,201753260,201753410,.,100,.
chr2,201753940,201754090,.,101,.
chr2,201754420,201754570,.,101,.
chr2,201766245,201766395,.,101,.
chr2,201768365,201768515,.,100,.
chr2,201770525,201770675,.,101,.
chr2,201778365,201778515,.,100,.
chr2,201794465,201794615,.,100,.
chr2,201809480,201809630,.,100,.
chr2,201809700,201809850,.,100,.
chr2,201828065,201828215,.,101,.
chr2,201828400,201828550,.,102,.
chr2,201831725,201831875,.,101,.
chr2,201832920,201833070,.,100,.
chr2,201837045,201837195,.,100,.
chr2,201914365,201914515,.,100,.
chr2,201934105,201934255,.,101,.
chr2,201936360,201936510,.,102,.
chr2,201955525,201955675,.,100,.
chr2,201978105,201978255,.,100,.
chr2,201980825,201980975,.,101,.
chr2,201981220,201981370,.,102,.
chr2,201981465,201981615,.,102,.
chr2,201981660,201981810,.,105,.
chr2,201982300,201982450,.,101,.
chr2,201982560,201982710,.,100,.
chr2,201982860,201983010,.,100,.
chr2,201983325,201983475,.,101,.
chr2,201983520,201983670,.,101,.
chr2,201983985,201984135,.,100,.
chr2,201988720,201988870,.,100,.
chr2,201990360,201990510,.,100,.
chr2,201991500,201991650,.,100,.
chr2,201992400,201992550,.,100,.
chr2,201993965,201994115,.,101,.
chr2,201995460,201995610,.,101,.
chr2,201999480,201999630,.,101,.
chr2,202002945,202003095,.,100,.
chr2,202004665,202004815,.,100,.
chr2,202013400,202013550,.,101,.
chr2,202014000,202014150,.,102,.
chr2,202014620,202014770,.,101,.
chr2,202015960,202016110,.,101,.
chr2,202016320,202016470,.,101,.
chr2,202022500,202022650,.,101,.
chr2,202023040,202023190,.,100,.
chr2,202025245,202025395,.,100,.
chr2,202029020,202029170,.,100,.
chr2,202032760,202032910,.,100,.
chr2,202039340,202039490,.,100,.
chr2,202040885,202041035,.,100,.
chr2,202042200,202042350,.,101,.
chr2,202047700,202047850,.,101,.
chr2,202072665,202072815,.,100,.
chr2,202083600,202083750,.,100,.
chr2,202092100,202092250,.,100,.
chr2,202095085,202095235,.,101,.
chr2,202097020,202097170,.,101,.
chr2,202097980,202098130,.,101,.
chr2,202101240,202101390,.,100,.
chr2,202119145,202119295,.,100,.
chr2,202122700,202122850,.,101,.
chr2,202123000,202123150,.,101,.
chr2,202142945,202143095,.,100,.
chr2,202149325,202149475,.,100,.
chr2,202163345,202163495,.,100,.
chr2,202222105,202222255,.,100,.
chr2,202223500,202223650,.,101,.
chr2,202228760,202228910,.,100,.
chr2,202248040,202248190,.,100,.
chr2,202261360,202261510,.,100,.
chr2,202268785,202268935,.,101,.
chr2,202271220,202271370,.,100,.
chr2,202283860,202284010,.,100,.
chr2,202285280,202285430,.,101,.
chr2,202296900,202297050,.,100,.
chr2,202305060,202305210,.,100,.
chr2,202313600,202313750,.,100,.
chr2,202315285,202315435,.,100,.
chr2,202316320,202316470,.,102,.
chr2,202316625,202316775,.,101,.
chr2,202331100,202331250,.,100,.
chr2,202397500,202397650,.,100,.
chr2,202424185,202424335,.,100,.
chr2,202429105,202429255,.,100,.
chr2,202483845,202483995,.,101,.
chr2,202507380,202507530,.,102,.
chr2,202507745,202507895,.,101,.
chr2,202508080,202508230,.,101,.
chr2,202509065,202509215,.,100,.
chr2,202530620,202530770,.,100,.
chr2,202533765,202533915,.,100,.
chr2,202543165,202543315,.,100,.
chr2,202560980,202561130,.,100,.
